,DATA_ITEM,OPR_DATE,INTERVAL_NUM,INTERVAL_START_GMT,INTERVAL_END_GMT,VALUE,TRADING_HUB,RENEWABLE_TYPE
121,RENEW_FCST_DA_MW,2025-09-09,22,2025-09-10T04:00:00-00:00,2025-09-10T05:00:00-00:00,40.98,ZP26,Wind
122,RENEW_FCST_DA_MW,2025-09-09,21,2025-09-10T03:00:00-00:00,2025-09-10T04:00:00-00:00,40.63,ZP26,Wind
123,RENEW_FCST_DA_MW,2025-09-09,20,2025-09-10T02:00:00-00:00,2025-09-10T03:00:00-00:00,39.69,ZP26,Wind
124,RENEW_FCST_DA_MW,2025-09-09,19,2025-09-10T01:00:00-00:00,2025-09-10T02:00:00-00:00,38.57,ZP26,Wind
125,RENEW_FCST_DA_MW,2025-09-09,18,2025-09-10T00:00:00-00:00,2025-09-10T01:00:00-00:00,35.4,ZP26,Wind
126,RENEW_FCST_DA_MW,2025-09-09,17,2025-09-09T23:00:00-00:00,2025-09-10T00:00:00-00:00,31.78,ZP26,Wind
127,RENEW_FCST_DA_MW,2025-09-09,16,2025-09-09T22:00:00-00:00,2025-09-09T23:00:00-00:00,29.39,ZP26,Wind
128,RENEW_FCST_DA_MW,2025-09-09,15,2025-09-09T21:00:00-00:00,2025-09-09T22:00:00-00:00,25.96,ZP26,Wind
129,RENEW_FCST_DA_MW,2025-09-09,14,2025-09-09T20:00:00-00:00,2025-09-09T21:00:00-00:00,22.14,ZP26,Wind
130,RENEW_FCST_DA_MW,2025-09-09,13,2025-09-09T19:00:00-00:00,2025-09-09T20:00:00-00:00,18.06,ZP26,Wind
131,RENEW_FCST_DA_MW,2025-09-09,12,2025-09-09T18:00:00-00:00,2025-09-09T19:00:00-00:00,13.37,ZP26,Wind
132,RENEW_FCST_DA_MW,2025-09-09,11,2025-09-09T17:00:00-00:00,2025-09-09T18:00:00-00:00,11.74,ZP26,Wind
133,RENEW_FCST_DA_MW,2025-09-09,10,2025-09-09T16:00:00-00:00,2025-09-09T17:00:00-00:00,14.52,ZP26,Wind
134,RENEW_FCST_DA_MW,2025-09-09,9,2025-09-09T15:00:00-00:00,2025-09-09T16:00:00-00:00,19.71,ZP26,Wind
135,RENEW_FCST_DA_MW,2025-09-09,8,2025-09-09T14:00:00-00:00,2025-09-09T15:00:00-00:00,24.95,ZP26,Wind
136,RENEW_FCST_DA_MW,2025-09-09,7,2025-09-09T13:00:00-00:00,2025-09-09T14:00:00-00:00,30.18,ZP26,Wind
137,RENEW_FCST_DA_MW,2025-09-09,6,2025-09-09T12:00:00-00:00,2025-09-09T13:00:00-00:00,33.67,ZP26,Wind
138,RENEW_FCST_DA_MW,2025-09-09,5,2025-09-09T11:00:00-00:00,2025-09-09T12:00:00-00:00,34.85,ZP26,Wind
139,RENEW_FCST_DA_MW,2025-09-09,4,2025-09-09T10:00:00-00:00,2025-09-09T11:00:00-00:00,35.71,ZP26,Wind
140,RENEW_FCST_DA_MW,2025-09-09,3,2025-09-09T09:00:00-00:00,2025-09-09T10:00:00-00:00,36.37,ZP26,Wind
141,RENEW_FCST_DA_MW,2025-09-09,2,2025-09-09T08:00:00-00:00,2025-09-09T09:00:00-00:00,37.5,ZP26,Wind
142,RENEW_FCST_DA_MW,2025-09-09,24,2025-09-10T06:00:00-00:00,2025-09-10T07:00:00-00:00,38.71,ZP26,Wind
143,RENEW_FCST_DA_MW,2025-09-09,1,2025-09-09T07:00:00-00:00,2025-09-09T08:00:00-00:00,38.35,ZP26,Wind
