,DATA_ITEM,RESOURCE_NAME,OPR_DATE,INTERVAL_NUM,INTERVAL_START_GMT,INTERVAL_END_GMT,VALUE
77,SYS_FCST_DA_MW,BANC,2025-09-09,20,2025-09-10T02:00:00-00:00,2025-09-10T03:00:00-00:00,2386.32
78,SYS_FCST_DA_MW,BANC,2025-09-09,6,2025-09-09T12:00:00-00:00,2025-09-09T13:00:00-00:00,1628.93
79,SYS_FCST_DA_MW,BANC,2025-09-09,17,2025-09-09T23:00:00-00:00,2025-09-10T00:00:00-00:00,2499.72
80,SYS_FCST_DA_MW,BANC,2025-09-09,1,2025-09-09T07:00:00-00:00,2025-09-09T08:00:00-00:00,1776.61
81,SYS_FCST_DA_MW,BANC,2025-09-09,2,2025-09-09T08:00:00-00:00,2025-09-09T09:00:00-00:00,1663.2
82,SYS_FCST_DA_MW,BANC,2025-09-09,7,2025-09-09T13:00:00-00:00,2025-09-09T14:00:00-00:00,1725.49
83,SYS_FCST_DA_MW,BANC,2025-09-09,23,2025-09-10T05:00:00-00:00,2025-09-10T06:00:00-00:00,1964.77
84,SYS_FCST_DA_MW,BANC,2025-09-09,5,2025-09-09T11:00:00-00:00,2025-09-09T12:00:00-00:00,1562.08
85,SYS_FCST_DA_MW,BANC,2025-09-09,9,2025-09-09T15:00:00-00:00,2025-09-09T16:00:00-00:00,1827.62
86,SYS_FCST_DA_MW,BANC,2025-09-09,12,2025-09-09T18:00:00-00:00,2025-09-09T19:00:00-00:00,1964.79
87,SYS_FCST_DA_MW,BANC,2025-09-09,14,2025-09-09T20:00:00-00:00,2025-09-09T21:00:00-00:00,2195.8
88,SYS_FCST_DA_MW,BANC,2025-09-09,3,2025-09-09T09:00:00-00:00,2025-09-09T10:00:00-00:00,1572.82
89,SYS_FCST_DA_MW,BANC,2025-09-09,10,2025-09-09T16:00:00-00:00,2025-09-09T17:00:00-00:00,1873.69
90,SYS_FCST_DA_MW,BANC,2025-09-09,11,2025-09-09T17:00:00-00:00,2025-09-09T18:00:00-00:00,1908
91,SYS_FCST_DA_MW,BANC,2025-09-09,13,2025-09-09T19:00:00-00:00,2025-09-09T20:00:00-00:00,2059.72
92,SYS_FCST_DA_MW,BANC,2025-09-09,15,2025-09-09T21:00:00-00:00,2025-09-09T22:00:00-00:00,2336.79
93,SYS_FCST_DA_MW,BANC,2025-09-09,21,2025-09-10T03:00:00-00:00,2025-09-10T04:00:00-00:00,2313.71
94,SYS_FCST_DA_MW,BANC,2025-09-09,24,2025-09-10T06:00:00-00:00,2025-09-10T07:00:00-00:00,1778.78
95,SYS_FCST_DA_MW,BANC,2025-09-09,22,2025-09-10T04:00:00-00:00,2025-09-10T05:00:00-00:00,2154.46
96,SYS_FCST_DA_MW,BANCMID,2025-09-09,11,2025-09-09T17:00:00-00:00,2025-09-09T18:00:00-00:00,336.8
97,SYS_FCST_DA_MW,BANCMID,2025-09-09,14,2025-09-09T20:00:00-00:00,2025-09-09T21:00:00-00:00,385.68
98,SYS_FCST_DA_MW,BANCMID,2025-09-09,17,2025-09-09T23:00:00-00:00,2025-09-10T00:00:00-00:00,446.93
99,SYS_FCST_DA_MW,BANCMID,2025-09-09,20,2025-09-10T02:00:00-00:00,2025-09-10T03:00:00-00:00,424.98
100,SYS_FCST_DA_MW,BANCMID,2025-09-09,24,2025-09-10T06:00:00-00:00,2025-09-10T07:00:00-00:00,322.74
101,SYS_FCST_DA_MW,BANCMID,2025-09-09,8,2025-09-09T14:00:00-00:00,2025-09-09T15:00:00-00:00,325.61
102,SYS_FCST_DA_MW,BANCMID,2025-09-09,9,2025-09-09T15:00:00-00:00,2025-09-09T16:00:00-00:00,331.44
103,SYS_FCST_DA_MW,BANCMID,2025-09-09,16,2025-09-09T22:00:00-00:00,2025-09-09T23:00:00-00:00,432.07
104,SYS_FCST_DA_MW,BANCMID,2025-09-09,18,2025-09-10T00:00:00-00:00,2025-09-10T01:00:00-00:00,451.36
105,SYS_FCST_DA_MW,BANCMID,2025-09-09,1,2025-09-09T07:00:00-00:00,2025-09-09T08:00:00-00:00,313.46
106,SYS_FCST_DA_MW,BANCMID,2025-09-09,7,2025-09-09T13:00:00-00:00,2025-09-09T14:00:00-00:00,310.92
107,SYS_FCST_DA_MW,BANCMID,2025-09-09,22,2025-09-10T04:00:00-00:00,2025-09-10T05:00:00-00:00,372.03
108,SYS_FCST_DA_MW,BANCMID,2025-09-09,4,2025-09-09T10:00:00-00:00,2025-09-09T11:00:00-00:00,281.43
109,SYS_FCST_DA_MW,BANCMID,2025-09-09,5,2025-09-09T11:00:00-00:00,2025-09-09T12:00:00-00:00,281.56
110,SYS_FCST_DA_MW,BANCMID,2025-09-09,13,2025-09-09T19:00:00-00:00,2025-09-09T20:00:00-00:00,363.42
111,SYS_FCST_DA_MW,BANCMID,2025-09-09,3,2025-09-09T09:00:00-00:00,2025-09-09T10:00:00-00:00,287.69
112,SYS_FCST_DA_MW,BANCMID,2025-09-09,2,2025-09-09T08:00:00-00:00,2025-09-09T09:00:00-00:00,298.82
113,SYS_FCST_DA_MW,BANCMID,2025-09-09,12,2025-09-09T18:00:00-00:00,2025-09-09T19:00:00-00:00,346.51
114,SYS_FCST_DA_MW,BANCMID,2025-09-09,23,2025-09-10T05:00:00-00:00,2025-09-10T06:00:00-00:00,345.45
115,SYS_FCST_DA_MW,BANCMID,2025-09-09,6,2025-09-09T12:00:00-00:00,2025-09-09T13:00:00-00:00,292.09
116,SYS_FCST_DA_MW,BANCMID,2025-09-09,19,2025-09-10T01:00:00-00:00,2025-09-10T02:00:00-00:00,438.84
117,SYS_FCST_DA_MW,BANCMID,2025-09-09,21,2025-09-10T03:00:00-00:00,2025-09-10T04:00:00-00:00,402.9
118,SYS_FCST_DA_MW,BANCMID,2025-09-09,10,2025-09-09T16:00:00-00:00,2025-09-09T17:00:00-00:00,335.39
