oasis_node,caiso_matches
ONLLPP_6_UNITS-APND,"['ONEILPMP_7_LN001', 'ONEILPMP_7_N001', 'ONEILPMP_7_N002', 'ONEILPMP_7_N003', 'ONEILPMP_7_N004', 'ONEILPMP_7_N005', 'ONEILPMP_7_N006']"
OSO_3_OSO_GRANDE-APND,[]
OTMESA_2_PL1X3-APND,[]
PALOMR_2_PL1X3-APND,[]
PALOVRDE_ASR-APND,[]
PARDEB_6_UNITS-APND,[]
PARKER_2_HYDR-APND,[]
PGCC_1_PDRP02-APND,[]
PGCC_1_PDRP04-APND,[]
PGCC_1_PDRP06-APND,[]
PGCC_1_PDRP07-APND,[]
PGCC_1_PDRP08-APND,[]
PGCC_1_PDRP09-APND,[]
PGCC_1_PDRP100-APND,[]
PGCC_1_PDRP12-APND,[]
PGCC_1_PDRP13-APND,[]
PGCC_1_PDRP16-APND,[]
PGCC_1_PDRP17-APND,[]
PGCC_1_PDRP18-APND,[]
PGCC_1_PDRP19-APND,[]
PGCC_1_PDRP20-APND,[]
PGCC_1_PDRP21-APND,[]
PGCC_1_PDRP22-APND,[]
PGCC_1_PDRP24-APND,[]
PGCC_1_PDRP25-APND,[]
PGCC_1_PDRP26-APND,[]
PGCC_1_PDRP27-APND,[]
PGCC_1_PDRP28-APND,[]
PGCC_1_PDRP29-APND,[]
PGCC_1_PDRP31-APND,[]
PGCC_1_PDRP32-APND,[]
PGCC_1_PDRP33-APND,[]
PGCC_1_PDRP34-APND,[]
PGCC_1_PDRP35-APND,[]
PGCC_1_PDRP36-APND,[]
PGCC_1_PDRP41-APND,[]
PGCC_1_PDRP45-APND,[]
PGCC_1_PDRP52-APND,[]
PGCC_1_PDRP60-APND,[]
PGCC_1_PDRP98-APND,[]
PGCC_1_PDRP99-APND,[]
PGCC_1_RDRR01-APND,[]
PGEB_2_PDRP04-APND,[]
PGEB_2_PDRP05-APND,[]
PGEB_2_PDRP08-APND,[]
PGEB_2_PDRP09-APND,[]
PGEB_2_PDRP10-APND,[]
PGEB_2_PDRP100-APND,[]
PGEB_2_PDRP101-APND,[]
PGEB_2_PDRP102-APND,[]
PGEB_2_PDRP103-APND,[]
PGEB_2_PDRP104-APND,[]
PGEB_2_PDRP105-APND,[]
PGEB_2_PDRP107-APND,[]
PGEB_2_PDRP111-APND,[]
PGEB_2_PDRP112-APND,[]
