oasis_node,caiso_matches,lat/lon
POD_SALIRV_2_UNIT-APND,"['OILFLDS_6_N001', 'OILFLDS_6_N007', 'OILFLDS_6_N009']","[[35.95646873409211, -120.85121], [35.95638813294024, -120.8511525112428], [35.95638813294024, -120.8512674887572]]"
POD_SANWD_1_QF-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
POD_SEARLS_7_ARGUS-APND,"['INYOKERN_1_N001', 'INYOKERN_1_N008']","[[35.65261399998741, -117.79478579202691], [35.65261399998741, -117.79489620797308]]"
POD_SEGS_1_SR2SL2-APND,['TORTILLA_1_N007'],"[[34.874547, -117.064691]]"
POD_SIERRA_1_UNITS-APND,"['KERNPWR_1_N002', 'KERNPWR_1_N201']","[[35.37980096994444, -119.097984], [35.37972001501422, -119.09792667452028]]"
POD_SNMALF_6_UNITS-APND,"['COTATI_6_N101', 'COTATI_6_N102']","[[38.30970399998603, -122.73153156284508], [38.30970399998603, -122.73164643715492]]"
POD_SPI LI_2_UNIT 1-APND,['SPILINCF_7_N002'],"[[38.903333, -121.308889]]"
POD_SUNRIS_2_PL1X3-APND,['SUNST_2_N006'],"[[35.227222, -119.629722]]"
POD_SUNSET_2_UNITS-APND,['SUNST_2_N006'],"[[35.227222, -119.629722]]"
POD_TEHAPI_2_WIND1-APND,"['VINCENT_2_N100', 'VINCENT_2_N101']","[[34.488233999987784, -118.11770414199054], [34.488233999987784, -118.11781385800946]]"
POD_TEHAPI_2_WIND2-APND,"['VINCENT_2_N100', 'VINCENT_2_N101']","[[34.488233999987784, -118.11770414199054], [34.488233999987784, -118.11781385800946]]"
POD_TIFFNY_1_DILLON-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
POD_TRNSWD_1_QF-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
POD_ULTPFR_1_UNIT 1-APND,['ULTPWRJ_1_N001'],"[[36.66, -119.63]]"
POD_UNVRSY_1_UNIT 1-APND,"['TAFT1_1_N001', 'TAFT1_1_N004']","[[35.14999999998751, -119.4799448699458], [35.14999999998751, -119.48005513005418]]"
POD_USWND2_1_WIND1-APND,['TESLA_1_N027'],"[[37.714254, -121.564571]]"
POD_USWND2_1_WIND2-APND,['TESLA_1_N027'],"[[37.714254, -121.564571]]"
POD_USWND2_1_WIND3-APND,['TESLA_1_N027'],"[[37.714254, -121.564571]]"
POD_VACADX_1_UNITA1-APND,"['VACA-DIX_1_N001', 'VACA-DIX_1_N014', 'VACADIX_1_GN001']","[[38.40161698256664, -121.91986928712716], [38.40161698256664, -121.91998871287284], [38.4106, -121.9264]]"
POD_VEDDER_1_SEKERN-APND,"['KERNOIL_1_N001', 'KERNOIL_1_N012']","[[35.44070999998741, -119.02061483035584], [35.44070999998741, -119.02072516964418]]"
POD_WHTWTR_1_WINDA1-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
POD_ZOND_6_UNIT-APND,"['VASCO_6_N001', 'VASCO_6_N003']","[[37.71132099998621, -121.715879841288], [37.71132099998621, -121.715994158712]]"
SALTSP_7_UNITS-APND,"['SALTSPS_7_B1', 'SALTSPS_7_B3']","[[38.49791399998594, -120.21805252007928], [38.49791399998594, -120.21816747992072]]"
SANITR_6_UNITS-APND,"['LACSD_7_B2', 'LACSD_7_B3', 'LACSD_7_B4', 'LACSD_7_B5']","[[33.76838997975424, -118.28349175899368], [33.768210020151294, -118.283491759221], [33.768210020151294, -118.283708240779], [33.76838997975424, -118.28370824100632]]"
SANTFG_7_UNITS-APND,"['GEYSER20_7_B1', 'SANTAFE_7_B1', 'SANTAFE_7_B11']","[[38.77680956998666, -122.74284279025429], [38.78005383848633, -122.67], [38.77997308074166, -122.66994018974808]]"
SHELRF_1_UNITS-APND,"['MARTINEZ_1_N001', 'SHELL1_7_B2', 'SHELL2_7_B2', 'SHELL3_7_B2']","[[38.02, -122.16], [38.01695420898266, -122.1117], [38.01687289549356, -122.11164041050606], [38.01687289549356, -122.11175958949394]]"
SLUISP_2_UNITS-APND,"['SANLUIS2_7_B1', 'SANLUIS2_7_B3', 'SANLUIS4_7_B1', 'SANLUIS4_7_B3', 'SANLUIS6_7_B1', 'SANLUIS6_7_B3', 'SANLUIS8_7_B1', 'SANLUIS8_7_B3']","[[37.069167, -121.076944], [37.06916699994648, -121.07683105222752], [37.06907687796754, -121.07683105236173], [37.06901315215404, -121.07691091843046], [37.068997912328, -121.0770222393508], [37.06902912619938, -121.07712819599048], [37.069094853841584, -121.07720547182996], [37.06918002691161, -121.07724238542458]]"
SPAULD_6_UNIT12-APND,"['SPAUL1-2_7_B2', 'SPAUL1-2_7_B3']","[[39.324592, -120.645375], [39.324613, -120.644807]]"
SPICER_1_UNITS-APND,"['NEWSPICE_7_B1', 'NEWSPICE_7_B3', 'NEWSPICE_7_B4']","[[38.39145404032424, -120.0008], [38.39137297982265, -120.00074028952358], [38.39137297982265, -120.00085971047642]]"
STOILS_1_UNITS-APND,"['CHEVGEN1_7_B1', 'CHEVGEN2_7_B1', 'STDOIL_1_N009']","[[37.93, -122.38], [37.95, -122.4], [37.94, -122.38]]"
SUNRIS_2_PL1X3-APND,"['SUNRSE3S_7_B1', 'TEXSUN1G_7_B2', 'TEXSUN1G_7_N001', 'TEXSUN2G_7_B2', 'TEXSUN2G_7_N001']","[[35.2097, -119.585], [35.36999999998748, -119.4799448397684], [35.36999999998748, -119.4800551602316], [35.3599999999875, -119.47994484104834], [35.3599999999875, -119.48005515895169]]"
SUNSHN_2_LNDFL-APND,"['WDT273_7_N004', 'WDT273_7_N005', 'WDT273_7_N006', 'WDT273_7_N007', 'WDT273_7_N008']","[[34.323889, -118.503056], [34.32388899995129, -118.50294655296322], [34.323798611712846, -118.503056], [34.32388899995129, -118.50316544703678], [34.32397938828714, -118.503056]]"
TENGEN_2_PL1X2-APND,"['TENNGEN1_7_B1', 'TENNGEN2_7_B1']","[[34.38406999998781, -118.49482722407812], [34.38406999998781, -118.49493677592189]]"
TIGRCK_7_UNITS-APND,"['TIGRCRK_7_B2', 'TIGRCRK_7_B3']","[[38.44929099998595, -120.49258753070296], [38.44929099998595, -120.49270246929706]]"
TULLCK_7_UNITS-APND,"['TULLOCH_7_B1', 'TULLOCH_7_B2', 'TULLOCH_7_B4']","[[37.87616524528185, -120.605], [37.87608387734405, -120.604940484751], [37.87608387734405, -120.60505951524898]]"
VERNON_6_MALBRG-APND,"['LAGUBELL_6_N001', 'LAGUBELL_6_N005', 'LAGUBELL_6_N210', 'VERNON_6_N005', 'VERNON_6_N006']","[[33.975996097823064, -118.14794], [33.97591495107552, -118.14788350459531], [33.97591495107552, -118.14799649540468], [33.998599999988066, -118.221845611492], [33.998599999988066, -118.22195438850798]]"
VESTAL_2_KERN-APND,"['KERNRVU1_7_B1', 'KERNRVU2_7_B1', 'VESTAL_6_GN010', 'VESTAL_6_N001', 'VESTAL_6_N002', 'VESTAL_6_N004', 'VESTAL_6_N006', 'VESTAL_6_N020']","[[35.776184999987414, -118.43617775701816], [35.776184999987414, -118.43628824298185], [36.028056, -119.074722], [35.85713659527842, -119.08872645400275], [35.85695740462036, -119.08872645425264], [35.85695740462036, -119.08894754574736], [35.85713659527842, -119.08894754599724], [35.797637, -119.285984]]"
WARNE_2_UNIT-APND,"['WARNE1_7_B1', 'WARNE2_7_B1']","[[34.68529999998766, -118.78804501805826], [34.68529999998766, -118.78815498194174]]"
WISHON_6_UNITS-APND,"['WISHON1_7_B2', 'WISHON1_7_B3', 'WISHON2_7_B2', 'WISHON2_7_B3']","[[37.15114019047573, -119.50461084389732], [37.15095980941666, -119.50461084416725], [37.15095980941666, -119.50483715583276], [37.15114019047573, -119.5048371561027]]"
