node_id,lon,lat,2026-05-05 21:00:00,2026-05-05 20:00:00,2026-05-05 19:00:00,2026-05-05 18:00:00,2026-05-05 17:00:00,2026-05-05 16:00:00,2026-05-05 15:00:00,2026-05-05 14:00:00,2026-05-05 13:00:00,2026-05-05 12:00:00,2026-05-05 11:00:00,2026-05-05 10:00:00,2026-05-05 09:00:00,2026-05-05 08:00:00,2026-05-05 07:00:00,2026-05-05 06:00:00,2026-05-05 05:00:00,2026-05-05 04:00:00,2026-05-05 03:00:00,2026-05-05 02:00:00,2026-05-05 00:00:00,2026-05-04 23:00:00,2026-05-04 22:00:00
LEMOORE_6_N002,-119.79822042969916,36.30998799998711,27.60967,27.07014,17.24209,1.38722,-0.13056,-1.87502,-2.03685,-1.50947,-0.64411,-1.77,9.12351,13.2897,13.2423,15.78887,26.47112,28.29247,27.31527,26.18835,27.06287,27.62392,32.31293,33.14536,33.41897
LEMOORE_6_N101,-119.79833157030085,36.30998799998711,27.60967,27.07014,17.24209,1.38722,-0.13056,-1.87502,-2.03685,-1.50947,-0.64411,-1.77,9.12351,13.2897,13.2423,15.78887,26.47112,28.29247,27.31527,26.18835,27.06287,27.62392,32.31293,33.14536,33.41897
LEPRINO_1_N001,-121.41570281391134,37.74847431877933,30.80546,32.04169,21.9341,11.37148,5.82736,3.16245,2.56865,5.3872,4.41526,7.69436,12.79977,20.55102,21.39853,23.19539,28.79842,28.56354,27.48939,26.34279,27.21659,27.88129,32.53031,33.62872,34.1378
LEPRINO_6_N001,-119.7910893,36.30394418,27.60127,27.06452,17.23799,1.38622,-0.13056,-1.87502,-2.03685,-1.50947,-0.64411,1.65495,9.12351,13.2897,13.24097,15.78527,26.46848,28.28965,27.31255,26.18573,27.06017,27.62116,32.30964,33.1386,33.41212
LEPRNOFD_1_N001,-121.41677160846815,37.75612622998619,27.44729,26.90973,16.5242,0.0142,-1.15327,-3.04951,-3.00855,-2.69179,-1.78656,0.2904,8.11769,11.43966,11.64343,14.86518,26.43416,28.25294,27.31255,26.17526,27.08714,27.61009,32.19437,32.99326,33.28204
LERDO_1_N001,-119.15188082156192,35.50010399998744,27.74405,27.60622,18.31086,4.33078,2.40466,0.67146,-0.00467,0.38687,1.69456,4.39086,11.35838,16.62921,17.22772,19.22982,26.15438,27.96776,26.97247,25.99727,26.79858,27.45511,32.83331,33.58816,33.96665
LERDO_1_N004,-119.15199117843808,35.50010399998744,27.74405,27.60622,18.31086,4.33078,2.40466,0.67146,-0.00467,0.38687,1.69456,4.39086,11.35838,16.62921,17.22772,19.22982,26.15438,27.96776,26.97247,25.99727,26.79858,27.45511,32.83331,33.58816,33.96665
LEWISTON_7_N001,-122.8083782557821,40.71097396998468,27.35771,26.41344,21.34832,11.5076,5.58985,4.17671,2.92354,5.718,5.63929,8.95025,13.96228,20.0274,20.95999,23.14716,26.30747,28.68778,27.31799,26.11244,26.62328,27.48279,32.23059,33.04734,33.29574
LIDSUB_6_N002,-121.25468,37.7929,31.77287,33.36674,21.81364,11.37816,5.82796,3.18384,2.57487,5.39112,4.43463,7.7197,12.83392,20.56167,21.4185,23.22242,29.57366,28.55225,27.52476,26.37158,27.24895,27.89789,32.50396,33.5814,34.11384
LILAC_6_N001,-117.085857,33.25331275588066,28.25358,28.38151,20.45928,2.40963,-1.82739,-2.20083,-2.13342,-2.035,-1.84995,-1.41067,-0.54332,0.64335,2.80388,16.95622,25.93267,28.188,27.19556,26.30091,27.06557,27.76506,33.93994,34.79486,35.06544
